time,gFx,gFy,gFz,TgF
0.016058,0.0732,1.0942,-0.0162,1.097
0.016807,0.0705,1.0967,-0.0162,1.099
0.017363,0.0673,1.0969,-0.0213,1.099
0.017920,0.0649,1.0959,-0.0188,1.098
0.018473,0.0629,1.0947,-0.0140,1.097
0.019034,0.0641,1.0886,-0.0252,1.091
0.020157,0.0637,1.0864,-0.0240,1.089
0.020814,0.0627,1.0815,-0.0205,1.084
0.021384,0.0656,1.0815,-0.0210,1.084
0.021978,0.0651,1.0820,-0.0237,1.084
0.025915,0.0644,1.0813,-0.0188,1.083
0.026903,0.0688,1.0793,-0.0249,1.082
0.027733,0.0693,1.0783,-0.0218,1.081
0.028597,0.0722,1.0786,-0.0210,1.081
0.037133,0.0754,1.0786,-0.0227,1.081
0.037814,0.0805,1.0779,-0.0227,1.081
0.038340,0.0768,1.0810,-0.0225,1.084
0.038855,0.0795,1.0813,-0.0213,1.084
0.040558,0.0798,1.0808,-0.0208,1.084
0.041161,0.0798,1.0835,-0.0223,1.087
0.046610,0.0820,1.0862,-0.0252,1.090
0.047342,0.0834,1.0866,-0.0205,1.090
0.050087,0.0815,1.0881,-0.0227,1.091
0.053120,0.0805,1.0862,-0.0225,1.089
0.063281,0.0817,1.0906,-0.0205,1.094
0.064027,0.0800,1.0901,-0.0262,1.093
0.064412,0.0825,1.0866,-0.0223,1.090
0.064790,0.0830,1.0903,-0.0198,1.094
0.065111,0.0754,1.0876,-0.0247,1.091
0.067515,0.0766,1.0854,-0.0262,1.088
0.070688,0.0798,1.0842,-0.0191,1.087
0.072902,0.0756,1.0857,-0.0215,1.089
0.075393,0.0727,1.0840,-0.0210,1.087
0.076832,0.0737,1.0844,-0.0237,1.087
0.080378,0.0720,1.0835,-0.0271,1.086
0.082922,0.0695,1.0832,-0.0230,1.086
0.085402,0.0717,1.0815,-0.0245,1.084
0.088200,0.0737,1.0783,-0.0240,1.081
0.090256,0.0698,1.0805,-0.0308,1.083
0.092341,0.0690,1.0791,-0.0296,1.082
0.094014,0.0671,1.0827,-0.0311,1.085
0.097117,0.0722,1.0813,-0.0289,1.084
0.099661,0.0693,1.0796,-0.0291,1.082
0.102154,0.0744,1.0766,-0.0276,1.080
0.106654,0.0759,1.0783,-0.0269,1.081
0.107344,0.0676,1.0774,-0.0333,1.080
0.110030,0.0658,1.0791,-0.0274,1.081
0.112313,0.0722,1.0808,-0.0232,1.083
0.114708,0.0712,1.0832,-0.0267,1.086
0.117533,0.0756,1.0810,-0.0198,1.084
0.120345,0.0788,1.0766,-0.0144,1.080
0.124538,0.0788,1.0742,-0.0181,1.077
0.125319,0.0744,1.0869,-0.0257,1.090
0.127397,0.0827,1.0862,-0.0325,1.090
0.130022,0.0751,1.0801,-0.0274,1.083
0.132968,0.0693,1.0808,-0.0252,1.083
0.135019,0.0676,1.0808,-0.0301,1.083
0.146721,0.0720,1.0822,-0.0298,1.085
0.147243,0.0764,1.0813,-0.0357,1.085
0.147645,0.0793,1.0815,-0.0355,1.085
0.148034,0.0803,1.0808,-0.0345,1.084
0.148412,0.0744,1.0837,-0.0345,1.087
0.149695,0.0751,1.0798,-0.0355,1.083
0.152343,0.0773,1.0837,-0.0315,1.087
0.158314,0.0771,1.0859,-0.0394,1.089
0.159361,0.0739,1.0825,-0.0450,1.086
0.160016,0.0759,1.0884,-0.0464,1.092
0.162856,0.0720,1.0862,-0.0491,1.090
0.165507,0.0724,1.0862,-0.0477,1.090
0.167703,0.0710,1.0903,-0.0425,1.093
0.171719,0.0720,1.0910,-0.0489,1.095
0.175943,0.0717,1.0920,-0.0533,1.096
0.176570,0.0722,1.0920,-0.0548,1.096
0.178586,0.0702,1.0923,-0.0570,1.096
0.180022,0.0705,1.0937,-0.0579,1.098
0.182641,0.0695,1.0937,-0.0589,1.098
0.184795,0.0727,1.0945,-0.0623,1.099
0.190633,0.0683,1.0962,-0.0635,1.100
0.191430,0.0651,1.0964,-0.0621,1.100
0.193373,0.0680,1.0957,-0.0621,1.100
0.195745,0.0688,1.0962,-0.0604,1.100
0.197923,0.0683,1.0952,-0.0574,1.099
0.200276,0.0654,1.0923,-0.0570,1.096
0.202677,0.0663,1.0891,-0.0535,1.092
0.206477,0.0632,1.0932,-0.0545,1.096
0.208503,0.0619,1.0881,-0.0540,1.091
0.210635,0.0661,1.0876,-0.0545,1.091
0.213559,0.0646,1.0869,-0.0533,1.090
0.215483,0.0605,1.0898,-0.0455,1.092
0.218169,0.0634,1.0879,-0.0494,1.091
0.222808,0.0654,1.0876,-0.0486,1.091
0.224516,0.0668,1.0888,-0.0501,1.092
0.227967,0.0663,1.0852,-0.0511,1.088
0.228618,0.0649,1.0864,-0.0489,1.089
0.231071,0.0688,1.0891,-0.0521,1.093
0.233344,0.0700,1.0886,-0.0506,1.092
0.236297,0.0702,1.0879,-0.0543,1.091
0.239248,0.0754,1.0886,-0.0548,1.093
0.242051,0.0724,1.0903,-0.0533,1.094
0.242680,0.0737,1.0903,-0.0543,1.094
0.245954,0.0695,1.0908,-0.0526,1.094
0.247985,0.0710,1.0893,-0.0560,1.093
0.250622,0.0705,1.0898,-0.0523,1.093
0.253069,0.0766,1.0893,-0.0506,1.093
0.267346,0.0771,1.0864,-0.0423,1.090
0.268202,0.0729,1.0871,-0.0396,1.090
0.268781,0.0685,1.0866,-0.0391,1.090
0.269845,0.0729,1.0842,-0.0333,1.087
0.270849,0.0749,1.0825,-0.0323,1.086
0.272820,0.0727,1.0801,-0.0308,1.083
0.273729,0.0690,1.0822,-0.0262,1.085
0.274939,0.0658,1.0830,-0.0245,1.085
0.291597,0.0656,1.0783,-0.0215,1.081
0.292261,0.0634,1.0793,-0.0215,1.081
0.292810,0.0632,1.0796,-0.0203,1.082
0.293407,0.0632,1.0810,-0.0213,1.083
0.293944,0.0607,1.0815,-0.0144,1.083
0.294476,0.0637,1.0788,-0.0152,1.081
0.295308,0.0629,1.0810,-0.0218,1.083
0.299742,0.0619,1.0810,-0.0235,1.083
0.300492,0.0605,1.0844,-0.0245,1.086
0.301499,0.0563,1.0808,-0.0237,1.083
0.302020,0.0593,1.0813,-0.0289,1.083
0.305053,0.0573,1.0854,-0.0262,1.087
0.306096,0.0597,1.0840,-0.0259,1.086
0.320660,0.0593,1.0798,-0.0357,1.082
0.321299,0.0595,1.0854,-0.0330,1.088
0.321805,0.0583,1.0862,-0.0330,1.088
0.322295,0.0607,1.0827,-0.0337,1.085
0.322789,0.0622,1.0837,-0.0367,1.086
0.327178,0.0646,1.0866,-0.0337,1.089
0.327999,0.0666,1.0864,-0.0384,1.089
0.328969,0.0663,1.0869,-0.0423,1.090
0.329544,0.0722,1.0896,-0.0425,1.093
0.331463,0.0729,1.0862,-0.0359,1.089
0.335329,0.0739,1.0864,-0.0389,1.090
0.336280,0.0773,1.0866,-0.0372,1.090
0.340409,0.0817,1.0791,-0.0369,1.083
0.342916,0.0820,1.0822,-0.0381,1.086
0.343704,0.0800,1.0830,-0.0337,1.086
0.347575,0.0869,1.0832,-0.0367,1.087
0.348295,0.0873,1.0805,-0.0359,1.085
0.352300,0.0886,1.0744,-0.0350,1.079
0.365169,0.0903,1.0822,-0.0352,1.087
0.366692,0.0883,1.0813,-0.0276,1.085
0.367259,0.0930,1.0761,-0.0232,1.080
