time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003991,-0.0169,-0.0106,0.6695,0.670
0.005515,0.0896,-0.0196,0.7892,0.795
0.007261,0.1611,-0.0276,0.8141,0.830
0.008322,0.2168,-0.0061,0.8519,0.879
0.014686,0.2809,0.0183,0.9433,0.984
0.016791,0.3482,0.0117,1.0191,1.077
0.023531,0.3778,0.0048,1.0557,1.121
0.025337,0.4072,0.0719,1.0672,1.145
0.031717,0.4412,0.1192,1.1113,1.202
0.040198,0.4836,0.1372,1.1209,1.228
0.042641,0.4909,0.1660,1.1632,1.273
0.045974,0.4654,0.1986,1.1259,1.234
0.053783,0.4601,0.2087,1.0377,1.154
0.055021,0.4617,0.1730,0.9917,1.107
0.060945,0.5891,0.0322,0.9231,1.095
0.065203,0.8601,-0.3507,0.8215,1.240
0.075053,0.8240,-0.3165,0.6123,1.074
0.076407,0.6151,-0.2602,0.2859,0.726
0.080152,0.3472,-0.1953,-0.0575,0.402
0.086963,0.0652,-0.0807,-0.3247,0.341
0.090676,-0.1889,0.0053,-0.6118,0.640
0.095061,-0.3812,0.1229,-0.8163,0.909
0.100286,-0.5250,0.2149,-0.8785,1.046
0.105143,-0.6419,0.2550,-0.8656,1.107
0.110127,-0.6957,0.2720,-0.8112,1.103
0.117496,-0.6653,0.2659,-0.7442,1.033
0.121183,-0.5967,0.2461,-0.6716,0.931
0.125199,-0.5164,0.2174,-0.5981,0.820
0.130501,-0.4084,0.1700,-0.5309,0.691
0.134793,-0.2968,0.0987,-0.4649,0.560
0.141287,-0.2056,0.0515,-0.4241,0.474
0.145605,-0.1472,0.0013,-0.3914,0.418
0.150674,-0.0688,-0.0253,-0.3332,0.341
0.156012,0.0244,-0.0554,-0.2566,0.264
0.159788,0.0438,-0.0796,-0.2355,0.252
0.167665,0.0855,-0.0911,-0.2171,0.250
0.171138,0.1299,-0.0445,-0.1989,0.242
0.180943,0.1416,-0.0046,-0.1355,0.196
0.183101,0.1450,0.0161,-0.1629,0.219
0.195415,0.1517,0.0466,-0.1520,0.220
0.197368,0.1597,0.1058,-0.1172,0.225
0.198612,0.1232,0.1263,-0.0965,0.201
0.202199,0.1333,0.1223,-0.0755,0.196
0.214589,0.0913,0.0914,-0.0159,0.130
0.216646,0.0596,0.1244,0.0369,0.143
0.219329,0.0639,0.1321,0.0855,0.170
0.220967,0.0948,0.0861,0.1394,0.189
0.226320,0.0475,0.0795,0.1030,0.139
0.230178,0.0706,0.0714,0.1104,0.149
0.244080,0.0687,0.0450,0.1353,0.158
0.245441,0.0659,0.0267,0.1512,0.167
0.246655,0.0836,-0.0192,0.1630,0.184
0.253913,0.0336,-0.0333,0.2113,0.217
0.255791,0.0138,-0.0708,0.2413,0.252
0.259971,0.0383,-0.0598,0.2888,0.297
0.264964,-0.0082,-0.0865,0.3298,0.341
0.269882,-0.0327,-0.1462,0.3645,0.394
0.275962,-0.0282,-0.1625,0.3617,0.398
0.281716,0.0073,-0.1569,0.3599,0.393
0.286469,0.0161,-0.1844,0.3757,0.419
0.289716,0.0004,-0.2092,0.3995,0.451
0.296318,0.0533,-0.2146,0.3932,0.451
0.301916,0.0765,-0.2196,0.3901,0.454
0.307102,0.0910,-0.2079,0.4001,0.460
0.310452,0.1277,-0.2198,0.4133,0.485
0.316333,0.1317,-0.1883,0.3916,0.454
0.321980,0.1009,-0.1615,0.3350,0.385
0.325183,0.1413,-0.1774,0.2819,0.362
0.332081,0.0857,-0.1857,0.2679,0.337
0.341474,0.1049,-0.1552,0.2070,0.279
0.342518,0.1059,-0.1311,0.1182,0.206
0.345064,0.1109,-0.1249,0.0851,0.187
0.350104,0.1465,-0.0696,0.0598,0.173
0.355299,0.1384,-0.1009,0.0252,0.173
0.360142,0.1104,-0.0628,-0.0380,0.133
0.375048,0.1102,-0.0679,-0.1153,0.173
0.378067,0.1233,-0.0796,-0.1999,0.248
0.380831,0.1107,-0.0905,-0.2153,0.258
0.383631,0.1223,-0.0861,-0.2741,0.312
0.386610,0.1196,-0.0997,-0.2974,0.336
0.389846,0.1093,-0.0904,-0.3355,0.364
0.395028,0.1007,-0.1010,-0.3433,0.372
0.401966,0.1240,-0.1193,-0.3375,0.379
0.405268,0.1168,-0.1095,-0.3661,0.400
0.410028,0.0836,-0.1048,-0.4052,0.427
0.415484,0.0865,-0.1124,-0.4739,0.495
0.420793,0.0684,-0.0750,-0.4598,0.471
0.424734,0.0750,-0.0642,-0.4778,0.488
0.430491,0.0804,-0.0634,-0.4633,0.474
0.437877,0.0996,-0.0727,-0.3827,0.402
0.440261,0.1661,-0.0755,-0.3509,0.396
0.445795,0.1582,-0.0865,-0.2912,0.342
0.451804,0.1815,-0.0819,-0.2273,0.302
0.454944,0.2220,-0.1004,-0.1997,0.315
0.460430,0.2222,-0.1255,-0.1414,0.292
0.469873,0.1943,-0.1047,-0.0977,0.241
0.471671,0.1886,-0.1075,-0.1068,0.242
0.479585,0.1524,-0.0959,-0.0418,0.185
0.481438,0.1359,-0.0602,-0.0056,0.149
