time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005302,0.0407,0.4086,-0.4623,0.618
0.006900,0.0976,0.3652,-0.3249,0.498
0.007956,0.1634,0.3519,-0.1982,0.436
0.013358,0.2216,0.3424,-0.0629,0.413
0.014417,0.2659,0.3507,0.0454,0.442
0.020658,0.2493,0.3095,0.1411,0.422
0.035994,0.2894,0.2524,0.2794,0.475
0.037257,0.4146,0.2176,0.3646,0.593
0.038083,0.5244,0.1357,0.4756,0.721
0.039657,0.6309,0.0213,0.6339,0.895
0.046074,0.6930,-0.1011,0.7219,1.006
0.049404,0.7299,-0.2817,0.8068,1.124
0.054885,0.7657,-0.4151,0.9100,1.260
0.063547,0.7978,-0.5590,0.9909,1.390
0.065459,0.8018,-0.7322,1.0926,1.540
0.069318,0.8402,-0.8994,1.1794,1.705
0.074696,0.8889,-1.0658,1.2849,1.891
0.079590,0.9529,-1.2248,1.3618,2.065
0.084332,1.0512,-1.3599,1.3123,2.162
0.089535,1.1122,-1.4764,1.3112,2.266
0.094744,1.1505,-1.5557,1.1988,2.276
0.100053,1.1972,-1.5671,1.0875,2.252
0.105602,1.1595,-1.6136,0.9321,2.195
0.109761,1.1567,-1.6929,0.7877,2.196
0.114631,1.1670,-1.7193,0.6328,2.172
0.119939,1.1812,-1.7475,0.4341,2.153
0.126044,1.2234,-1.7894,0.1818,2.175
0.129406,1.2054,-1.8139,-0.0665,2.179
0.135255,1.1726,-1.7897,-0.2513,2.154
0.139943,1.1059,-1.7646,-0.5184,2.146
0.144974,1.0768,-1.7001,-0.7366,2.143
0.149787,1.0592,-1.6560,-0.8940,2.160
0.159653,0.9836,-1.6200,-1.0578,2.170
0.162097,0.8737,-1.5370,-1.1826,2.127
0.164586,0.7558,-1.4808,-1.2569,2.084
0.170384,0.6460,-1.4391,-1.3262,2.061
0.176141,0.5800,-1.4546,-1.2927,2.031
0.184769,0.4352,-1.4557,-1.2045,1.939
0.190252,0.2950,-1.3658,-1.1285,1.796
0.193976,0.2216,-1.2617,-1.0552,1.660
0.195906,0.1975,-1.1387,-1.0060,1.532
0.203967,0.1178,-1.0064,-0.9570,1.394
0.206231,0.1139,-0.9123,-0.8819,1.274
0.212093,0.1068,-0.7991,-0.7666,1.113
0.216327,0.0825,-0.7173,-0.7662,1.053
0.220052,0.0414,-0.6807,-0.7254,0.996
0.227301,0.0033,-0.6580,-0.6038,0.893
0.229670,0.1066,-0.7204,-0.4853,0.875
0.234918,0.1865,-0.8429,-0.2677,0.904
0.239394,0.2408,-1.0110,0.0319,1.040
0.244353,0.2690,-1.1882,0.3464,1.267
0.249131,0.2711,-1.3576,0.7019,1.552
0.256803,0.2801,-1.4978,1.1198,1.891
0.260008,0.3170,-1.6282,1.6144,2.315
0.264107,0.3523,-1.8042,2.0663,2.766
0.273717,0.3714,-2.0003,2.4212,3.163
0.275296,0.4003,-2.1359,2.7943,3.540
0.280116,0.4223,-2.1834,2.9949,3.730
0.285463,0.4540,-2.1987,3.0141,3.758
0.290889,0.4123,-2.1421,2.9556,3.673
0.295284,0.3816,-2.0574,2.8293,3.519
