time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004142,0.1697,-0.1378,0.2443,0.328
0.005426,0.1156,-0.0928,0.2006,0.249
0.010048,0.0908,-0.0413,0.1165,0.153
0.013113,0.0637,-0.0068,0.0302,0.071
0.017970,0.0961,0.0277,-0.0200,0.102
0.029096,0.0445,0.0456,-0.1062,0.124
0.029988,0.0259,0.0903,-0.1614,0.187
0.031276,0.0575,0.1159,-0.2596,0.290
0.038218,0.0459,0.1683,-0.3077,0.354
0.041787,0.0580,0.1158,-0.3320,0.356
0.046413,0.0819,0.1265,-0.3614,0.392
0.052666,0.1176,0.1141,-0.3935,0.426
0.064044,0.1820,0.0859,-0.4331,0.478
0.065114,0.1912,0.0875,-0.4612,0.507
0.066309,0.1955,0.0809,-0.4252,0.475
0.072026,0.1663,0.0326,-0.3873,0.423
0.077146,0.1776,0.0357,-0.2663,0.322
0.081320,0.1768,0.0636,-0.0381,0.192
0.096909,0.1422,0.0679,0.0772,0.175
0.098097,0.1317,0.0580,0.1183,0.186
0.098761,0.0929,0.0571,0.1882,0.218
0.103463,0.0885,0.0388,0.3039,0.319
0.108611,0.0852,0.0678,0.2594,0.281
0.112853,0.0541,0.0859,0.2610,0.280
0.118406,0.0380,0.0603,0.2939,0.302
0.123547,0.0131,0.0769,0.2866,0.297
0.131344,0.0129,0.0615,0.2700,0.277
0.136408,0.0059,0.0527,0.1963,0.203
0.139291,-0.0321,0.0458,0.1661,0.175
0.141643,-0.0509,0.0433,0.1048,0.124
0.146838,-0.0269,0.0620,0.0654,0.094
0.151306,-0.0462,0.0446,0.0093,0.065
0.157554,-0.0419,0.0655,-0.0084,0.078
0.162364,-0.0046,0.0791,-0.0500,0.094
0.166212,0.0032,0.1217,-0.0725,0.142
0.172041,-0.0302,0.1454,-0.1406,0.204
0.176572,-0.0238,0.1646,-0.1608,0.231
0.181394,-0.0467,0.1747,-0.1358,0.226
0.188042,-0.0294,0.2118,-0.0992,0.236
0.192178,-0.0097,0.2327,-0.1249,0.264
0.196845,0.0050,0.2348,-0.1101,0.259
0.201417,0.0151,0.2160,-0.0836,0.232
0.209219,0.0300,0.1881,-0.0524,0.198
0.211340,0.0374,0.1676,0.0001,0.172
0.216081,0.0469,0.1425,0.0502,0.158
0.221660,0.0609,0.1030,0.1218,0.171
0.227272,0.0962,0.0537,0.1742,0.206
0.231382,0.0787,0.0183,0.1886,0.205
0.237959,0.1734,0.0183,0.2892,0.338
0.242329,0.1887,-0.0018,0.3351,0.385
0.247816,0.2371,0.0226,0.3310,0.408
0.253719,0.1897,0.0336,0.3418,0.392
0.256679,0.1446,0.0767,0.3220,0.361
0.262735,0.1498,0.0971,0.2835,0.335
0.266228,0.1693,0.0541,0.1977,0.266
0.271615,0.1794,0.0654,0.1409,0.237
0.277804,0.1750,0.0738,0.1131,0.221
0.281390,0.1849,0.0817,0.0735,0.215
0.300586,0.1948,0.0893,0.0460,0.219
0.302771,0.2071,0.0920,0.0258,0.228
0.304285,0.2239,0.0710,-0.0255,0.236
0.305980,0.1879,0.0453,0.0044,0.193
0.310672,0.1735,0.0295,-0.0542,0.184
0.313035,0.1996,0.0402,-0.0530,0.210
0.317182,0.2017,0.0108,-0.0449,0.207
0.327694,0.2277,0.0247,-0.0512,0.235
0.328563,0.1938,0.0435,-0.0432,0.203
0.332327,0.1958,0.0388,-0.0473,0.205
0.336761,0.1760,0.0296,-0.0586,0.188
0.341541,0.1824,0.0637,-0.0892,0.213
0.346103,0.1860,0.0745,-0.0697,0.212
0.351042,0.1798,0.0688,-0.0265,0.194
0.357761,0.1470,0.0803,0.0046,0.168
0.361317,0.1657,0.1034,0.0234,0.197
0.366020,0.1984,0.0934,0.0562,0.226
0.372065,0.2047,0.1072,0.1267,0.264
0.377017,0.1778,0.0784,0.1300,0.234
0.381391,0.1367,0.0949,0.1239,0.207
0.388269,0.1078,0.0730,0.1939,0.234
0.392897,0.0919,0.0608,0.1817,0.213
0.397113,0.0595,0.0387,0.1887,0.202
0.402152,0.0633,0.0639,0.1337,0.161
0.408870,0.0693,0.0666,0.1331,0.164
0.411998,0.0139,0.0690,0.0803,0.107
0.425755,0.0090,0.0473,0.0423,0.064
0.431279,0.0162,0.0207,0.0499,0.056
0.435233,-0.0241,-0.0037,0.0361,0.044
0.437288,-0.0118,-0.0259,0.0012,0.028
0.438415,-0.0091,-0.0031,-0.0570,0.058
0.447144,-0.0298,0.0027,-0.0885,0.093
0.449638,-0.0026,0.0270,-0.0627,0.068
0.450811,0.0007,0.0295,-0.0868,0.092
0.456463,-0.0223,0.0222,-0.0513,0.060
0.462377,-0.0165,0.0268,-0.0897,0.095
0.465842,-0.0081,0.0288,-0.0944,0.099
0.472099,-0.0306,0.0402,-0.0777,0.093
0.476754,-0.0316,0.0416,-0.1157,0.127
0.481032,-0.0255,0.0311,-0.1034,0.111
0.490860,-0.0384,0.0277,-0.0794,0.092
0.493493,-0.0224,0.0383,-0.1077,0.116
0.496575,-0.0204,-0.0082,-0.1404,0.142
0.505959,-0.0203,0.0023,-0.1158,0.118
0.508422,-0.0363,-0.0159,-0.1389,0.144
0.512077,0.0001,-0.0128,-0.1284,0.129
0.517356,0.0269,-0.0430,-0.1346,0.144
0.522464,0.0248,-0.0684,-0.1645,0.180
0.526616,0.0298,-0.0272,-0.1466,0.152
0.531635,0.0490,-0.0363,-0.1122,0.128
0.540745,0.0751,-0.0383,-0.1778,0.197
0.542190,0.0298,0.0120,-0.1478,0.151
0.551502,0.0229,0.0477,-0.1182,0.129
0.571509,0.0445,0.0334,-0.1363,0.147
0.575510,0.0066,0.0071,-0.0924,0.093
0.577308,0.0427,0.0377,-0.0441,0.072
0.578541,0.0357,0.0085,-0.0270,0.046
0.579361,0.0119,-0.0446,-0.0051,0.046
0.581245,0.0239,-0.0572,0.0072,0.062
0.582025,0.0190,-0.0559,0.0124,0.060
0.589755,0.0185,-0.0359,-0.0251,0.048
0.592537,0.0274,-0.0638,-0.0503,0.086
0.596392,0.0171,-0.0560,-0.0705,0.092
0.602855,-0.0283,-0.0079,-0.1428,0.146
0.607436,-0.0444,-0.0170,-0.1504,0.158
0.611823,-0.0339,0.0028,-0.1937,0.197
0.617512,-0.0112,0.0180,-0.2344,0.235
0.624179,-0.0381,0.0051,-0.2107,0.214
0.627131,-0.0409,0.0044,-0.2254,0.229
0.630939,-0.0675,-0.0337,-0.1403,0.159
0.639547,-0.0300,-0.0237,-0.1036,0.110
0.642018,0.0257,-0.0302,-0.0554,0.068
0.646466,0.0357,0.0110,0.0374,0.053
0.652328,0.0122,0.0492,0.0940,0.107
0.660190,-0.0108,0.0795,0.0885,0.119
0.661354,-0.0714,0.0809,0.1734,0.204
0.666475,-0.0841,0.1342,0.1365,0.209
0.673222,-0.0944,0.1347,0.1001,0.192
0.676282,-0.0955,0.0800,0.0593,0.138
0.681545,-0.0875,0.0779,-0.0024,0.117
0.686983,-0.0870,0.0709,-0.0826,0.139
0.691719,-0.0629,0.0640,-0.0980,0.133
0.696301,-0.0249,0.0881,-0.1869,0.208
0.701018,0.0150,0.1099,-0.2443,0.268
0.706379,0.0070,0.1036,-0.2610,0.281
0.711854,-0.0368,0.1097,-0.2565,0.281
0.716774,-0.0329,0.1046,-0.2759,0.297
0.723908,-0.0293,0.0765,-0.2550,0.268
0.727253,-0.0451,0.0920,-0.2180,0.241
0.731253,-0.0181,0.0963,-0.1862,0.210
0.738697,-0.0177,0.0868,-0.1121,0.143
0.741903,0.0324,0.0943,-0.0791,0.127
0.746537,0.0368,0.1234,-0.0228,0.131
0.751329,0.0600,0.1285,0.0378,0.147
0.757546,0.0211,0.1096,0.0054,0.112
0.761735,0.0134,0.1101,0.0326,0.116
0.766730,0.0201,0.0867,0.0691,0.113
0.775531,0.0148,0.0705,0.0626,0.095
0.783492,0.0259,0.0544,0.0965,0.114
0.785697,0.0510,0.0290,0.1040,0.119
0.787160,0.1018,0.0154,0.1423,0.176
0.806154,0.0834,-0.0006,0.1733,0.192
0.808695,0.0654,0.0166,0.1875,0.199
0.811248,0.0642,-0.0213,0.2136,0.224
0.812740,0.0442,-0.0118,0.1921,0.197
0.813695,0.0506,0.0187,0.1922,0.200
0.816095,0.0191,0.0202,0.2138,0.216
0.825235,0.0331,0.0427,0.2495,0.255
0.827809,0.0113,0.0434,0.2091,0.214
0.833980,0.0108,0.0837,0.1622,0.183
0.836618,0.0004,0.0569,0.1442,0.155
0.842102,0.0134,0.0633,0.1051,0.123
0.845706,-0.0073,0.0958,0.0568,0.112
0.850884,-0.0447,0.0855,0.0255,0.100
0.857138,-0.0371,0.0826,-0.0650,0.111
0.861078,-0.0869,0.0755,-0.1027,0.154
0.866237,-0.0912,0.0665,-0.1188,0.164
0.873833,-0.1074,0.0275,-0.2419,0.266
0.876872,-0.1115,0.0087,-0.2598,0.283
0.880748,-0.1438,-0.0255,-0.3088,0.342
0.887967,-0.1449,-0.0086,-0.3624,0.390
0.892715,-0.1435,-0.0214,-0.3685,0.396
0.896041,-0.1730,-0.0449,-0.4390,0.474
0.905380,-0.1811,-0.0503,-0.4571,0.494
0.907509,-0.1844,-0.0449,-0.3971,0.440
0.911452,-0.1760,-0.0218,-0.3736,0.414
0.916171,-0.1936,-0.0289,-0.3695,0.418
0.923602,-0.1328,-0.0304,-0.2707,0.303
0.927439,-0.1108,0.0017,-0.0850,0.140
0.931269,-0.0802,0.0454,0.0683,0.115
0.939218,-0.0551,0.0312,0.1113,0.128
0.941902,-0.0683,0.0214,0.0663,0.098
0.946114,-0.0386,0.0044,0.0383,0.055
0.951255,-0.0538,0.0112,-0.0795,0.097
0.956715,-0.1045,-0.0441,-0.3604,0.378
0.962501,-0.1852,-0.0699,-0.7034,0.731
