time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008845,0.7201,0.4383,-0.4013,0.934
0.010341,0.7039,0.4684,-0.1923,0.867
0.011588,0.6694,0.4752,-0.0598,0.823
0.012827,0.6232,0.4601,0.0612,0.777
0.014158,0.5626,0.4805,0.1540,0.756
0.015738,0.4795,0.4810,0.1759,0.702
0.016918,0.3945,0.4753,0.1819,0.644
0.018104,0.3188,0.4614,0.1600,0.583
0.019196,0.2203,0.4703,0.0597,0.523
0.020380,0.1369,0.4686,0.0126,0.488
0.021396,0.0340,0.4467,-0.0676,0.453
0.026414,-0.0381,0.4361,-0.1023,0.450
0.073446,-0.0703,0.4152,-0.1680,0.453
0.074444,-0.0743,0.3862,-0.1618,0.425
0.075087,-0.0586,0.4093,-0.1172,0.430
0.076858,0.0248,0.3934,0.0065,0.394
0.077610,0.0639,0.3934,0.0729,0.405
0.078280,0.1067,0.3972,0.1589,0.441
0.078871,0.1300,0.4001,0.1902,0.462
0.079412,0.1747,0.4357,0.1454,0.491
0.080170,0.1813,0.4252,0.1944,0.501
0.080743,0.2076,0.4356,0.1768,0.514
0.084156,0.2322,0.4312,0.1071,0.501
0.085382,0.2360,0.4337,0.0783,0.500
0.090739,0.2264,0.4625,0.0211,0.515
0.098441,0.2222,0.4531,-0.0240,0.505
0.102675,0.1826,0.4464,-0.0621,0.486
0.122705,0.1575,0.4426,-0.0884,0.478
0.125586,0.1251,0.4034,-0.1174,0.438
0.128962,0.0973,0.4393,-0.1851,0.487
0.130718,0.0307,0.4280,-0.1910,0.470
0.131414,-0.0079,0.4149,-0.1926,0.457
0.133151,-0.0452,0.4049,-0.1827,0.446
0.135827,-0.0762,0.4169,-0.1398,0.446
0.140712,-0.1085,0.3911,-0.1309,0.426
0.147392,-0.1633,0.3800,-0.0887,0.423
0.150732,-0.1327,0.3740,-0.0494,0.400
0.155462,-0.1170,0.3752,0.0162,0.393
0.166866,-0.0970,0.3284,0.0507,0.346
0.167796,-0.1227,0.2981,0.1236,0.345
0.170158,-0.1149,0.2675,0.1344,0.321
0.175151,-0.1041,0.2602,0.1457,0.316
0.180451,-0.1047,0.2331,0.2125,0.332
0.185867,-0.0662,0.1860,0.2128,0.290
0.192708,-0.0677,0.1883,0.1516,0.251
0.196306,-0.0735,0.1607,0.1319,0.221
0.202820,-0.1026,0.1587,0.0816,0.206
0.207358,-0.1075,0.1463,0.0104,0.182
0.210351,-0.1265,0.1713,-0.0292,0.215
0.215602,-0.1505,0.2027,-0.1113,0.276
0.220466,-0.1652,0.2357,-0.1595,0.329
0.225952,-0.1828,0.2658,-0.2003,0.380
0.231279,-0.2488,0.2642,-0.2671,0.451
0.235394,-0.2843,0.2980,-0.3408,0.535
0.240090,-0.3233,0.3074,-0.4264,0.617
0.245675,-0.4043,0.3334,-0.4904,0.718
0.250618,-0.4580,0.3115,-0.5592,0.787
0.255347,-0.5799,0.3495,-0.6115,0.912
0.260958,-0.6340,0.3661,-0.6330,0.968
0.268008,-0.6590,0.3641,-0.6979,1.027
0.271192,-0.6930,0.4150,-0.6796,1.056
0.275070,-0.7219,0.3920,-0.6569,1.052
0.285959,-0.6953,0.4149,-0.5581,0.983
0.286846,-0.5771,0.3975,-0.4861,0.853
0.290002,-0.5136,0.3873,-0.4025,0.759
0.295930,-0.4419,0.3844,-0.3956,0.707
0.300742,-0.3652,0.3866,-0.3146,0.618
0.310466,-0.2354,0.3818,-0.2146,0.497
0.311498,-0.1220,0.4033,-0.1385,0.444
0.315210,0.0036,0.3936,-0.0337,0.395
0.320408,-0.0075,0.3572,-0.0387,0.359
0.325009,-0.0197,0.3423,-0.1630,0.380
0.330994,0.0113,0.3760,-0.1534,0.406
0.334956,0.0475,0.3838,-0.1556,0.417
0.340370,0.1191,0.3608,-0.0860,0.390
0.347569,0.1246,0.3618,-0.0762,0.390
0.350340,0.0516,0.3343,-0.1262,0.361
0.354658,0.0157,0.3147,-0.2242,0.387
0.361303,0.0079,0.3559,-0.2818,0.454
0.365470,0.0019,0.3789,-0.2751,0.468
0.371275,-0.0054,0.3716,-0.2017,0.423
0.375419,-0.0025,0.3694,-0.1452,0.397
0.381025,-0.0739,0.3816,-0.1367,0.412
0.385744,-0.1336,0.4110,-0.1165,0.448
0.390934,-0.1618,0.4432,-0.1179,0.486
0.397515,-0.1582,0.4708,-0.0788,0.503
0.400764,-0.1655,0.5340,-0.0299,0.560
0.405921,-0.1761,0.5372,0.0239,0.566
0.410365,-0.1590,0.5231,0.0876,0.554
0.423761,-0.1409,0.4891,0.1231,0.524
0.424797,-0.1340,0.4517,0.0683,0.476
0.425418,-0.1697,0.4011,-0.0049,0.436
0.432420,-0.1615,0.3615,-0.0845,0.405
0.435233,-0.1907,0.3301,-0.1633,0.415
0.440681,-0.2550,0.3121,-0.2749,0.488
0.445923,-0.2759,0.3339,-0.3213,0.539
0.451703,-0.3854,0.4123,-0.4151,0.701
0.455310,-0.4597,0.4708,-0.4941,0.823
0.460814,-0.4871,0.5168,-0.5538,0.901
0.465489,-0.5373,0.5838,-0.6468,1.024
0.470812,-0.5435,0.6003,-0.7014,1.071
0.476113,-0.5226,0.6238,-0.7632,1.116
0.481472,-0.4864,0.6833,-0.7940,1.155
0.485593,-0.4274,0.6857,-0.8036,1.140
0.490603,-0.3383,0.7435,-0.7584,1.115
0.501625,-0.3386,0.6988,-0.6944,1.042
0.503059,-0.3040,0.6688,-0.6594,0.987
0.506603,-0.2702,0.6965,-0.6295,0.977
0.534122,-0.2487,0.6937,-0.6190,0.962
0.535282,-0.2441,0.6767,-0.6110,0.944
0.535748,-0.1699,0.6553,-0.5577,0.877
0.536179,-0.1768,0.6296,-0.5023,0.825
0.536603,-0.1739,0.6162,-0.4877,0.805
0.537029,-0.1947,0.6101,-0.4206,0.766
0.540952,-0.2008,0.6019,-0.3680,0.733
0.546283,-0.2326,0.5627,-0.3323,0.694
0.550869,-0.2402,0.5810,-0.3276,0.709
0.557636,-0.3048,0.5919,-0.3180,0.738
0.560351,-0.3046,0.5884,-0.3299,0.740
